Avg,HR,Handedness,Height,Name,Weight
0.275,138,Right,70,Jose Cardenal,150
0.248,414,Left,74,Darrell Evans,200
0.225,58,Right,70,Buck Martinez,190
0.262,86,Right,72,John Wockenfuss,190
0.246,75,Left,72,Tommy McCraw,183
0.286,91,Right,73,Lee Lacy,175
0.303,160,Both,71,Pete Rose,192
0.224,63,Right,74,Jeff Newman,215
0.252,159,Right,75,Jim Hickman,192
0.253,108,Left,73,Fred Whitfield,190
0.236,442,Right,78,Dave Kingman,210
0.264,102,Right,71,Eric Soderholm,187
0.224,60,Right,72,Ed Brinkman,170
0.239,61,Left,71,Wayne Garrett,175
0.255,87,Right,71,Bo Diaz,185
0.255,63,Left,72,Pat Putnam,205
0.279,185,Left,73,Chris Chambliss,195
0.266,144,Right,74,Jeffrey Leonard,200
0.269,77,Right,70,Rich Rollins,185
0.271,66,Right,70,Merv Rettenmund,190
0.252,50,Right,72,Joe Azcue,190
0.257,78,Right,73,Julian Javier,175
0.282,246,Both,76,Ken Singleton,210
0.255,160,Right,71,Frank White,165
0.246,71,Right,70,Tom Brookens,165
0.249,61,Left,73,Gary Thomasson,180
0.251,78,Right,72,Otto Velez,170
0.283,67,Left,69,Floyd Robinson,175
0.293,149,Left,71,Lou Brock,170
0.251,210,Right,72,Rico Petrocelli,175
0.248,156,Right,75,Ken McMullen,190
0.268,86,Left,73,Willie Crawford,197
0.223,65,Left,73,Joe Lahoud,198
0.304,220,Left,73,Tony Oliva,175
0.256,91,Right,75,Cito Gaston,190
0.263,54,Right,70,Cookie Rojas,160
0.27,121,Right,73,Dan Ford,185
0.243,98,Right,73,Ozzie Virgil,180
0.277,342,Right,72,Ron Santo,190
0.267,102,Left,73,Jay Johnstone,175
0.278,170,Right,71,Jim Ray Hart,185
0.255,58,Right,72,Ken Berry,175
0.267,101,Right,74,Dave Concepcion,155
0.281,54,Left,68,Al Bumbry,170
0.261,118,Left,75,Ed Kranepool,205
0.278,130,Left,70,Jorge Orta,170
0.286,103,Left,69,Tony Gonzalez,170
0.247,121,Right,75,Gary Roenicke,205
0.238,122,Right,74,Don Lock,195
0.279,379,Right,74,Tony Perez,175
0.29,191,Right,71,Hal McRae,180
0.251,74,Both,72,Jim Lefebvre,180
0.246,65,Right,75,Charlie Spikes,215
0.257,122,Both,74,Ken Henderson,180
0.233,121,Left,74,Wayne Gross,210
0.225,50,Right,76,Paul Casanova,180
0.247,65,Right,73,Lou Clinton,185
0.243,173,Right,74,Nate Colbert,190
0.264,113,Right,73,Chuck Hinton,180
0.274,348,Right,73,George Foster,180
0.277,147,Left,73,Leon Durham,185
0.237,124,Right,70,Aurelio Rodriguez,180
0.284,165,Left,72,Jose Cruz,170
0.258,166,Right,74,Bill Robinson,189
0.254,242,Right,72,Sal Bando,195
0.236,76,Right,74,George Mitterwald,195
0.232,79,Right,76,Bob Tillman,205
0.244,70,Right,69,Glenn Hubbard,150
0.278,267,Right,75,George Hendrick,195
0.328,92,Left,72,Rod Carew,170
0.264,195,Right,72,Toby Harrah,175
0.257,56,Left,73,Rick Manning,180
0.281,234,Right,74,Gary Matthews,185
0.258,51,Left,72,Cesar Geronimo,165
0.283,306,Left,73,Fred Lynn,185
0.273,166,Right,74,Larry Hisle,193
0.248,390,Left,72,Graig Nettles,180
0.293,118,Left,72,Mike Easler,190
0.292,113,Right,71,Thurman Munson,190
0.264,241,Left,75,Rick Monday,193
0.255,50,Left,72,Tony Solaita,210
0.248,58,Right,72,Joe Foy,215
0.244,77,Right,73,Leroy Stanton,195
0.247,59,Right,73,Adolfo Phillips,175
0.247,197,Left,71,Dick McAuliffe,176
0.26,112,Right,71,Jim Morrison,175
0.236,56,Right,73,Bobby Knoop,170
0.282,86,Right,76,Tom Paciorek,215
0.261,240,Right,73,Jeff Burroughs,200
0.279,292,Left,74,Rusty Staub,190
0.265,200,Left,71,Oscar Gamble,160
0.25,134,Right,72,Paul Blair,168
0.27,108,Right,73,Al Cowens,197
0.303,219,Left,72,Al Oliver,195
0.263,256,Right,75,Larry Parrish,190
0.263,77,Left,72,Milt May,190
0.25,122,Right,75,Nick Esasky,200
0.257,163,Both,73,Roy Smalley,185
0.287,207,Right,73,Richie Zisk,200
0.26,338,Right,73,Don Baylor,190
0.239,73,Left,72,Bernie Allen,175
0.278,164,Left,72,Claudell Washington,190
0.253,255,Left,75,John Mayberry,215
0.26,68,Right,72,Ken Reitz,180
0.277,193,Right,71,Amos Otis,165
0.254,55,Right,70,Gene Alley,160
0.254,98,Left,73,Pete Ward,185
0.239,100,Left,74,Duke Sims,197
0.259,91,Left,74,Mike Davis,175
0.228,102,Right,72,Steve Yeager,190
0.295,61,Left,70,Mickey Rivers,165
0.267,153,Left,75,Jim Northrup,190
0.285,452,Left,71,Carl Yastrzemski,175
0.287,64,Right,74,Lamar Johnson,215
0.296,65,Right,72,Manny Sanguillen,193
0.257,84,Left,71,Gates Brown,220
0.29,53,Both,71,Johnny Ray,170
0.268,91,Left,70,Ken Landreaux,165
0.277,60,Right,76,Enos Cabell,170
0.274,79,Right,71,Juan Beniquez,150
0.259,56,Right,72,Ron Jackson,200
0.261,66,Right,73,Dick Dietz,195
0.214,109,Right,74,Dave Duncan,190
0.282,100,Left,75,Bruce Bochte,195
0.264,96,Left,71,Bernie Carbo,173
0.248,95,Right,72,Jim Sundberg,190
0.236,73,Right,75,Andy Kosco,205
0.253,116,Left,72,John Lowenstein,175
0.299,63,Left,74,Bake McBride,190
0.24,80,Left,73,Ed Herrmann,195
0.242,53,Left,73,Mike Hegan,188
0.225,77,Right,75,Tim Laudner,212
0.28,68,Right,74,Steve Henderson,190
0.253,160,Right,74,Bill Melton,200
0.249,131,Left,72,John Milner,185
0.253,52,Left,75,Rich Reese,185
0.289,174,Left,72,Bill Buckner,185
0.268,271,Right,74,George Scott,200
0.225,268,Right,74,Gorman Thomas,210
0.247,188,Left,72,Darrell Porter,193
0.25,146,Left,74,Jim Spencer,195
0.26,77,Left,70,Jim Dwyer,165
0.258,66,Right,75,Mike Andrews,195
0.258,196,Right,76,Cliff Johnson,215
0.274,159,Right,76,Donn Clendenon,209
0.277,218,Right,73,Bob Horner,195
0.285,117,Right,75,Garry Maddox,175
0.294,272,Right,70,Steve Garvey,192
0.249,200,Left,75,Don Mincher,205
0.269,81,Right,75,Mike Ivie,205
0.278,242,Right,74,Dusty Baker,183
0.224,82,Left,75,Roger Repoz,190
0.253,139,Left,73,Johnny Briggs,190
0.296,162,Left,72,Keith Hernandez,180
0.262,123,Left,72,Willie Upshaw,185
0.24,80,Right,70,Dick Green,180
0.276,203,Left,73,Richie Hebner,195
0.279,201,Right,73,Buddy Bell,180
0.245,127,Right,76,Jody Davis,192
0.244,245,Right,74,Deron Johnson,200
0.242,77,Right,70,Don Wert,162
0.276,307,Right,73,Greg Luzinski,220
0.265,86,Left,71,Bobby Tolan,170
0.268,76,Right,75,Tony Horton,210
0.236,82,Right,71,Randy Hundley,170
0.273,235,Left,74,Ben Oglivie,160
0.264,93,Both,67,Don Buford,160
0.26,113,Left,75,Greg Walker,205
0.272,56,Right,75,Barry Bonnell,190
0.251,85,Right,73,Jerry Martin,195
0.265,80,Right,72,Joel Youngblood,180
0.262,563,Left,72,Reggie Jackson,195
0.266,72,Left,74,Mitchell Page,205
0.234,59,Both,73,Bill Sudakis,190
0.271,268,Left,67,Joe Morgan,160
0.255,106,Left,74,Lee Thomas,195
0.256,61,Right,74,Ray Fosse,215
0.239,69,Right,73,Charley Smith,170
0.271,52,Left,70,Steve Braun,180
0.271,84,Right,73,Ray Knight,185
0.266,224,Right,74,Bobby Grich,180
0.254,121,Left,72,Jimmie Hall,175
0.237,112,Left,74,Curt Blefary,195
0.252,133,Left,73,Mack Jones,180
0.226,52,Right,71,Buddy Bradford,170
0.276,130,Right,74,Gary Ward,195
0.253,86,Left,71,Dan Meyer,180
0.274,107,Right,75,Larry Herndon,190
0.279,121,Right,72,Keith Moreland,190
0.288,78,Right,72,Alex Johnson,205
0.244,57,Right,71,Paul Schaal,165
0.245,153,Both,73,Tom Tresh,180
0.273,215,Right,72,Chet Lemon,190
0.281,93,Right,72,Cleon Jones,185
0.247,90,Left,72,Mike Lum,180
0.278,99,Left,75,Johnny Grubb,175
0.267,389,Right,73,Johnny Bench,197
0.255,130,Right,71,Tommie Agee,195
0.257,189,Right,73,Bob Bailey,180
0.285,248,Both,71,Ted Simmons,193
0.277,252,Left,71,Bobby Murcer,160
0.305,163,Right,71,Bill Madlock,180
0.254,105,Right,74,Bob Boone,195
0.278,130,Left,72,Steve Kemp,195
0.273,50,Right,70,Rick Burleson,165
0.29,80,Left,72,Mike Hargrove,195
0.267,354,Right,75,Lee May,195
0.264,76,Left,73,Pat Kelly,185
0.239,123,Left,73,Ken Phelps,209
0.285,199,Right,74,Cesar Cedeno,175
0.259,237,Right,74,Doug DeCinces,190
0.251,96,Left,70,Dave May,186
0.271,110,Left,75,Willie Aikens,220
0.247,138,Right,75,Earl Williams,215
0.257,146,Right,69,Tommy Harper,165
0.247,111,Right,71,Max Alvis,185
0.299,204,Right,75,Rico Carty,200
0.261,80,Left,73,Roy Howell,190
0.266,339,Left,76,Boog Powell,230
0.251,83,Right,74,Bobby Darwin,190
0.267,153,Left,71,Dan Driessen,187
0.252,251,Right,71,Tony Armas,182
0.273,325,Right,71,Willie Horton,209
0.291,102,Right,72,Lou Piniella,182
0.248,98,Right,73,Butch Hobson,193
0.23,57,Right,75,Barry Foote,205
0.23,55,Right,74,Gary Alexander,195
0.254,253,Right,75,Andre Thornton,200
0.256,94,Right,75,Bob Oliver,205
0.242,115,Right,73,Bob Robertson,195
0.265,102,Right,74,Ollie Brown,178
0.258,219,Left,74,Joe Pepitone,185
0.25,147,Left,70,Ruppert Jones,170
0.23,81,Right,75,John Bateman,210
0.251,155,Right,74,Doug Rader,208
0.248,117,Right,73,Mickey Stanley,185
0.286,78,Right,72,Phil Bradley,185
0.306,75,Left,71,Ralph Garr,185
0.262,69,Right,74,John Ellis,225
0.267,64,Both,73,Wes Parker,180
0.261,116,Right,75,Rick Reichardt,210
0.267,78,Right,75,Leon Roberts,200
0.242,81,Left,76,Johnny Edwards,220
0.249,65,Right,74,Tom Grieve,190
0.276,66,Right,72,Danny Cater,170
0.24,61,Right,74,Bill Schroeder,200
0.233,55,Left,72,Clay Dalrymple,190
0.274,90,Left,71,Carlos May,200
0.287,314,Both,72,Reggie Smith,180
0.261,136,Right,73,Davey Johnson,170
0.278,123,Right,76,Ellis Valentine,205
0.271,160,Both,70,Roy White,160
0.292,351,Right,71,Dick Allen,187
0.282,475,Left,74,Willie Stargell,188
0.258,87,Left,73,Del Unser,180
0.259,93,Both,73,Lee Mazzilli,180
0.245,90,Both,74,Alan Ashby,185
0.247,91,Right,74,Bob Brenly,210
0.293,52,Left,73,Ron Blomberg,195
0.259,95,Right,70,Jerry Morales,155
0.263,155,Right,69,Davey Lopes,170
0.25,291,Right,70,Jimmy Wynn,160
0.265,151,Right,73,Jim Fregosi,190
0.267,548,Right,74,Mike Schmidt,195
0.275,139,Left,72,Willie Montanez,170
0.255,54,Left,74,Champ Summers,205
0.259,79,Right,70,Bert Campaneris,160
0.257,134,Left,76,Tom Haller,195
0.242,73,Right,74,Ron Swoboda,195
0.297,252,Right,74,Joe Torre,212
0.259,51,Right,73,Al Ferrara,200
0.271,148,Right,70,Sixto Lezcano,165
0.212,61,Right,74,Dave Nicholson,215
0.279,182,Left,74,Willie Davis,180
0.268,332,Right,73,Bobby Bonds,190
0.25,101,Right,72,Denis Menke,185
0.263,61,Right,73,Manny Trillo,150
0.247,72,Both,74,Mike Young,195
0.246,112,Right,73,Chris Speier,175
0.261,176,Right,73,Don Money,170
0.264,179,Right,74,Joe Rudi,200
0.298,382,Right,74,Jim Rice,200
0.238,85,Left,71,Ed Kirkpatrick,195
0.22,62,Left,73,Ellie Hendricks,175
0.257,118,Right,71,Leo Cardenas,150
0.253,68,Left,73,Art Shamsky,168
0.261,316,Right,70,Ron Cey,185
0.255,65,Both,73,Butch Wynegar,190
0.288,59,Right,72,Ron LeFlore,200
0.241,201,Right,72,Gene Tenace,190
0.262,200,Right,75,Bill Freehan,203
0.246,166,Left,73,Dwayne Murphy,185
0.244,130,Left,75,Mike Epstein,230
0.289,70,Both,74,Jerry Mumphrey,185
0.255,68,Right,75,Mike Shannon,195
0.261,208,Left,76,Jason Thompson,200
0.243,95,Left,72,Mike Jorgensen,195
0.298,241,Left,74,Cecil Cooper,165
0.24,122,Right,74,Joe Ferguson,200
0.265,62,Left,76,Dave Revering,210
0.295,184,Right,72,Bob Watson,201
0.239,131,Right,74,Ken Harrelson,190
0.263,86,Right,70,Ed Charles,170
0.264,166,Right,75,Tony Conigliaro,185
0.26,109,Right,70,Phil Garner,175
